GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US01344,1344,"ZIP 01344 (Erving, MA)",0,Total for all sectors,2013,18,217,2054,9515
8610000US01346,1346,"ZIP 01346 (Heath, MA)",0,Total for all sectors,2013,4,7,46,231
8610000US01347,1347,"ZIP 01347 (Lake Pleasant, MA)",0,Total for all sectors,2013,1,a,D,D
8610000US01349,1349,"ZIP 01349 (Millers Falls, MA)",0,Total for all sectors,2013,10,24,75,360
8610000US01350,1350,"ZIP 01350 (Monroe Bridge, MA)",0,Total for all sectors,2013,3,b,D,D
8610000US01351,1351,"ZIP 01351 (Montague, MA)",0,Total for all sectors,2013,31,115,706,3117
8610000US01354,1354,"ZIP 01354 (Gill, MA)",0,Total for all sectors,2013,23,250,1299,6036
8610000US01355,1355,"ZIP 01355 (New Salem, MA)",0,Total for all sectors,2013,16,b,D,D
8610000US01360,1360,"ZIP 01360 (Northfield, MA)",0,Total for all sectors,2013,54,722,8254,31320
8610000US01364,1364,"ZIP 01364 (Orange, MA)",0,Total for all sectors,2013,132,1457,11125,48344
8610000US01366,1366,"ZIP 01366 (Petersham, MA)",0,Total for all sectors,2013,24,56,336,1447
8610000US01367,1367,"ZIP 01367 (Rowe, MA)",0,Total for all sectors,2013,8,130,1703,6387
8610000US01368,1368,"ZIP 01368 (Royalston, MA)",0,Total for all sectors,2013,8,b,S,618
8610000US01370,1370,"ZIP 01370 (Shelburne Falls, MA)",0,Total for all sectors,2013,122,560,3557,15816
8610000US01373,1373,"ZIP 01373 (South Deerfield, MA)",0,Total for all sectors,2013,139,2902,38341,148175
8610000US01375,1375,"ZIP 01375 (Sunderland, MA)",0,Total for all sectors,2013,49,532,5266,32271
8610000US01376,1376,"ZIP 01376 (Turners Falls, MA)",0,Total for all sectors,2013,102,1650,15072,61670
8610000US01378,1378,"ZIP 01378 (Warwick, MA)",0,Total for all sectors,2013,4,a,55,262
8610000US01379,1379,"ZIP 01379 (Wendell, MA)",0,Total for all sectors,2013,10,19,54,237
8610000US01380,1380,"ZIP 01380 (Wendell Depot, MA)",0,Total for all sectors,2013,2,a,D,D
8610000US01420,1420,"ZIP 01420 (Fitchburg, MA)",0,Total for all sectors,2013,740,10022,81977,340182
8610000US01430,1430,"ZIP 01430 (Ashburnham, MA)",0,Total for all sectors,2013,94,677,5288,22765
8610000US01431,1431,"ZIP 01431 (Ashby, MA)",0,Total for all sectors,2013,53,c,1132,5301
8610000US01432,1432,"ZIP 01432 (Ayer, MA)",0,Total for all sectors,2013,238,4435,49696,208016
8610000US01434,1434,"ZIP 01434 (Devens, MA)",0,Total for all sectors,2013,74,2210,40777,167207
8610000US01436,1436,"ZIP 01436 (Baldwinville, MA)",0,Total for all sectors,2013,27,e,D,D
8610000US01438,1438,"ZIP 01438 (East Templeton, MA)",0,Total for all sectors,2013,21,c,D,D
8610000US01440,1440,"ZIP 01440 (Gardner, MA)",0,Total for all sectors,2013,405,6559,54135,230956
8610000US01441,1441,"ZIP 01441 (Westminster, MA)",0,Total for all sectors,2013,10,f,D,D
8610000US01450,1450,"ZIP 01450 (Groton, MA)",0,Total for all sectors,2013,203,1743,16179,69912
8610000US01451,1451,"ZIP 01451 (Harvard, MA)",0,Total for all sectors,2013,139,644,8121,38548
8610000US01452,1452,"ZIP 01452 (Hubbardston, MA)",0,Total for all sectors,2013,53,315,2216,9380
8610000US01453,1453,"ZIP 01453 (Leominster, MA)",0,Total for all sectors,2013,1091,15156,124980,535585
8610000US01460,1460,"ZIP 01460 (Littleton, MA)",0,Total for all sectors,2013,303,6911,159765,646900
8610000US01462,1462,"ZIP 01462 (Lunenburg, MA)",0,Total for all sectors,2013,199,1724,14891,68237
8610000US01463,1463,"ZIP 01463 (Pepperell, MA)",0,Total for all sectors,2013,206,1232,10202,47013
8610000US01464,1464,"ZIP 01464 (Shirley, MA)",0,Total for all sectors,2013,117,1253,13847,66826
8610000US01467,1467,"ZIP 01467 (Still River, MA)",0,Total for all sectors,2013,9,b,175,952
8610000US01468,1468,"ZIP 01468 (Templeton, MA)",0,Total for all sectors,2013,52,261,2073,8667
8610000US01469,1469,"ZIP 01469 (Townsend, MA)",0,Total for all sectors,2013,123,1342,10851,44770
8610000US01471,1471,"ZIP 01471 (Groton, MA)",0,Total for all sectors,2013,5,e,D,D
8610000US01472,1472,"ZIP 01472 (West Groton, MA)",0,Total for all sectors,2013,9,316,3424,14660
