Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
126,126,Friday Aug 28,boxscore,COL,@,PIT,L,3,5,,51-75,5,19.5,Watson,Oberg,Melancon,3:10,N,32607,-
127,127,Saturday Aug 29,boxscore,COL,@,PIT,L,3,4,,51-76,5,20.5,Happ,Rusin,Melancon,3:09,N,35838,--
128,128,Sunday Aug 30,boxscore,COL,@,PIT,W,5,0,,52-76,5,19.5,De La Rosa,Morton,,2:55,D,36271,+
129,129,Monday Aug 31,boxscore,COL,,ARI,W-wo,5,4,,53-76,5,19.5,Castro,Ziegler,,3:30,N,21386,++
130,130,Tuesday Sep 1 (1),boxscore,COL,,ARI,L,4,6,,53-77,5,21.0,Corbin,Castro,Hudson,3:02,D,21550,-
131,131,Tuesday Sep 1 (2),boxscore,COL,,ARI,L,3,5,,53-78,5,21.0,De La Rosa,Oberg,Collmenter,3:08,N,20411,--
132,132,Wednesday Sep 2,boxscore,COL,,ARI,W,9,4,,54-78,5,21.0,Brown,Delgado,Miller,3:38,N,20574,+
133,133,Thursday Sep 3,boxscore,COL,,SFG,W,11,3,,55-78,5,20.0,Rusin,Vogelsong,,2:48,N,25863,++
134,134,Friday Sep 4,boxscore,COL,,SFG,W,2,1,,56-78,5,20.0,De La Rosa,Heston,Axford,2:52,N,29196,+++
135,135,Saturday Sep 5,boxscore,COL,,SFG,L,3,7,,56-79,5,21.0,Peavy,Bettis,,3:08,N,37672,-
136,136,Sunday Sep 6,boxscore,COL,,SFG,L,4,7,,56-80,5,22.0,Bumgarner,Flande,Casilla,3:18,D,36649,--
137,137,Monday Sep 7,boxscore,COL,@,SDP,W,6,4,,57-80,5,22.0,Kendrick,Kennedy,Axford,3:19,D,24585,+
138,138,Tuesday Sep 8,boxscore,COL,@,SDP,L-wo,1,2,,57-81,5,23.0,Kimbrel,Logan,,2:40,N,19112,-
139,139,Wednesday Sep 9,boxscore,COL,@,SDP,L,4,11,,57-82,5,23.0,Shields,Rusin,,3:16,N,22764,--
